"anonym_id","general_feeling","general_feeling_cause"
1,2,"I am interested in the topics I research"
2,2,""
3,1,"Overwork"
4,1,"Sometimes (not always) you have the chance to decide by yourself what to do and how; this is good but is also a responsibilityhow"
5,3,"Freedom and intellectually stimulating"
6,3,"Great to work on innovation"
7,2,"Field of clinical research and self management for projects "
8,1,"I like doing research but I often have the sense that we are ""forced"" to prioritize career-related outputs (eg: number of publications) over benefit sharing"
9,2,"liberty"
10,2,"Intellectually and socially stimulating, enriching and interesting"
11,-1,"Little academic support from supervisor, long time for publication"
12,-1,"Overwork, unreasonable expectations, doing the job of multiple people"
13,-2," sleep deprivation  Lack of social life and detached from family"
14,2,"I enjoy conducting research and see its value."
15,2,"Sense of accomplishment, freedom to choose what I work on, satisfaction from solving difficult problems "
16,2,"Enjoy discovering new facts"
17,3,"Enjoy conducting research"
18,1,"stress regarding funding, politics of research, slow pace of research, insufficient resources, never truly on vacation, cognitive load "
19,-2,"continuously too much work and byrocracy"
20,1,"Flexible working hours"
21,-2,"Huge funding cuts. Lots of (often unfair) rejection despite tons of hard work. Idiosyncratic, heavily flawed system of peer review and for-profit bloodsucking journals."
23,3,"autonomy"
24,0,"Uncertainty "
25,2,"I like my job and all the opportunities it offers"
26,1,"Precarity of my position and difficulty to get funding"
27,2,"I find my work fun, satisfying and educative"
28,-1,"It's a lot of strong emotions in either directions. Sometimes I'm very negative, depending on how much is expected of me, grant rejections, lack of permanent position etc, but I truly love the work. So if I can get away from the negatives and focus on the work, I love it"
29,2,"interesting job that has an impact"
30,2,""
31,3,"Creative and independent"
32,1,"I like my job but it is so demanding"
33,2,"Knowledge that my research has/will have impact on quality life of others"
34,2,"Freedom"
35,2,"Vocation. Alignment with my personal objectives in life"
36,3,"Flexibility"
37,2,"variety of work and free schedule"
38,1,"Sentience."
39,3,"That I have had the desire, ability, funding, and academic freedom to pursue my intellectual interests as an independent investigator for over 30 years"
40,2,"Great job, lots of freedom"
41,2,"good collaborations "
42,-2,"The financial load"
43,-2,"excessive work, deadlines, too much responsibility, lack of rest"
44,2,"social impact"
45,2,"I have a permanent position"
46,1,"We work on very important and fulfilling jobs, but the work overload can be stressful"
