"research_stage","emotion","mean_value"
"Project genesis","interest",5.833
"Project genesis","amusement",4.889
"Project genesis","pleasure",4.75
"Reality check","interest",6
"Reality check","amusement",6
"Reality check","joy",6
"Preparations","interest",5.75
"Preparations","pride",4.667
"Preparations","contentment",4.636
"Data collection","interest",5.542
"Data collection","pride",4.864
"Data collection","contentment",4.727
"Data analysis","interest",6.048
"Data analysis","joy",5.095
"Data analysis","pleasure",5.048
"Report writing","interest",5.304
"Report writing","pride",4.458
"Report writing","relief",4.238
"Waiting for journal","admiration",5
"Waiting for journal","interest",4.25
"Waiting for journal","compassion",4
"Reviews and revisions","interest",5.167
"Reviews and revisions","pride",4.667
"Reviews and revisions","relief",4.6
"Post-project stage","pride",5.833
"Post-project stage","fear",5.667
"Post-project stage","disgust",5.667
