"anonym_id","research_stage","research_stage_feeling_cause"
1,"Data analysis","The research is both interesting and important for vulnerable people"
2,"Reviews and revisions",""
3,"Data analysis",""
4,"Data analysis","interest, since a research loves what he does"
5,"Data collection","The interest of the question"
6,"Project genesis/ first thoughts/ idea creation","Joy: it is fascinating to work on new plans and keep in mind that ""if your dreams don't scare you, there not big enough"
7,"Data analysis","Accomplissement of loads of work "
8,"Preparations (IRB permit, preregistration, experiment preparations)","I am interested, motivated and passionate about this project, but the IRB application process was unhelpfully long and really frustrating "
9,"Preparations (IRB permit, preregistration, experiment preparations)","waste of time"
10,"Reality check (e.g., literature search, consultation with colleagues)","Preparing a project for submission is always intellectually rewarding. Most of the feelings listed above (such as love, hate, disgust, etc.) do not describe at all feelings that I can have about my work."
11,"Waiting for journal's response","I am sad because I feel that my work may be not good enough and the publication process takes too much time while I can only wait"
12,"Project genesis/ first thoughts/ idea creation","Fear of having to lead more work as others are not performing to an already very heavy workload I have, and due to the pressure to constantly say 'yes' in academia"
13,"Report writing","Lonliness as my intense work can't be shared with my  co-investigators or friends"
14,"Data collection","""Interest"" was the most intense feeling, and I believe this was due to excitement over a new, meaningful research project."
15,"Reality check (e.g., literature search, consultation with colleagues)","I'm interested in the work and take pride in it, but I often wonder what if any real-world applications it will have and if it has any meaning at all outside of academics, which gives me contempt for the project. I then feel guilty about pursuing a project for which I doubt its usefulness, and also for having negative thoughts about the work and my collaborators."
16,"Data collection","Hopeful idea not panning out. Maybe you need to add frustration to your list of emotions. I think that is a major one for scientists."
17,"Report writing","The sense of achievement and joy brought by scientific research."
18,"Data collection","It is interesting to interact with study participants and hear their thoughts about the topic of study."
19,"Report writing","Anger and frustration with the work for several reasons (byrocracy, lack of resources and help, regulatory matters, lack of skilled people)"
20,"Waiting for journal's response","-"
21,"Reviews and revisions","Having peer reviewers making absurd, nonsensical, uneducated comments (e.g., ""Were race, gender, and LGBT status self-reported? This can lead to bias."" Self-report is the only way to measure these constructs. There is no way to objectively measure LGBT status! Are we supposed to be observing sexual behavior in people's bedrooms?), and having idiotic editors back them up, leading to unfair rejections.

Not getting a job because of sexism and bias towards other candidates due to close personal connections."
23,"Project genesis/ first thoughts/ idea creation","it is fun to do research"
24,"Data collection","Its hard to tell, im doing research like what you do right now (questionnaire based) but i need to meet the participants in person, and people not always nice. "
25,"Report writing","I enjoy the process of writing up the manuscrispt - "
26,"Data collection","I love experimental science, getting ideas, formulating hypotheses and finding ways to experimentally address them, interpret data and draw conclusions"
27,"Data collection","Reliefed that the recruitment went better than expected, all participants are coming in and the data collection goes smooth and works well."
28,"Preparations (IRB permit, preregistration, experiment preparations)","Because it's never just one thing happening. So I was planning field work and making sure all the training is going ahead while organising travel, but at the same time I'm writing two grants, I have phd students who need things, faculty responsibilities, responsibilities for other projects. "
29,"Data analysis","great to have first results on a project, on the other hand fear that the project does not develop well and pressure to provide good results"
30,"Report writing",""
31,"Data collection","Data collection going more or less ok"
32,"Data analysis",""
33,"Report writing","I am proud of what I and my team have achieved"
34,"Data collection","Content and relieved because I completed interviews, and guilt because it sometimes took longer to transcribe them"
35,"Data analysis","Compassion, because we are developing suicide-prevention tools and the idea of preventing suicide is avoiding all the associated suffering is both moving and motivating  "
