StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,dismiss_1,area,position,gender,age,country,country_other,category_of_work,feeling_general_1,cause_general,research_stage,feeling_stage_1,feeling_stage_2,feeling_stage_3,feeling_stage_4,feeling_stage_5,feeling_stage_6,feeling_stage_7,feeling_stage_8,feeling_stage_9,feeling_stage_10,feeling_stage_11,feeling_stage_12,feeling_stage_13,feeling_stage_14,feeling_stage_15,feeling_stage_16,feeling_stage_17,feeling_stage_18,feeling_stage_19,feeling_stage_20,cause_stage
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Emotional Landscape of Scientific Research

Informed Consent and Description of Research


You are cordially invited to participate in a research study coordinated by Prof. Balazs Aczel, ELTE Budapest, Hungary (aczel.balazs@ppk.elte.hu). This study aims to explore the emotional landscape of scientific research, mapping out the affects and emotions that researchers commonly experience when conducting different stages of their main research project. The study consists of a series of questions and poses minimal risk of discomfort (other than the discomfort caused by completing regular or daily tasks). Your participation is entirely voluntary, and you are free to complete the survey on your own terms (i.e., choosing to take breaks, skip questions, or even terminate completion without any repercussions). The survey is quite short, and the estimated time for completion is approximately 5 minutes. Aside from personal satisfaction (stemming from your support of the overall advancement of science), there are no other compensations for your participation.

The results of this study will be used in scientific outputs (publications and conference presentations). Data will be collected anonymously during the study, and no personal data will be obtained. All information collected during the research process will be handled strictly and confidentially. Data obtained during the research is stored as coded information in a secured computer. The assistant in charge provides the individual codes, which are accessible and known only to them. Research data will be analyzed statistically, during which no personal identification will be possible. All anonymized data will be openly shared on public repositories. By proceeding, you agree that data collected on your person - which cannot be identified as those belonging to your person - may be used for research purposes and will be accessible to other researchers and the general public.

I reserve the right to terminate my participation at any time, in which case the data belonging to my person should be erased. I declare that I am over 18 years of age. I have received detailed information concerning the conditions of my participation in the study. I agree with these conditions, and I am willing to participate.",What is your area of research?,What is the closest category that describes your current academic position?,With which gender do you identify yourself?,What is your age?,List of Countries,"If other country, please specify:",How would you categorize your work?,How would you rate your overall feelings about your life as a researcher? - I feel,What do you think is the main cause of this feeling?,"Indicate which stage you are in or were in within the last month. (If you were in multiple stages, just select the one that took up most of your time)",What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Interest,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Amusement,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Pride,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Joy,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Pleasure,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Contentment,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Love,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Admiration,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Relief,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Compassion,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Sadness,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Guilt,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Regret,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Shame,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Disappointment,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Fear,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Disgust,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Contempt,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Hate,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Anger,"What do you believe to be the main cause of your most intense feeling, as indicated above? (Please tell us the feeling and its cause. If you have multiple feelings with equally high intensity, please specify the one you chose to respond to here.)"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID1217255476""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID39_TEXT""}"
2025-03-18 13:53:32,2025-03-18 14:22:28,IP Address,100,1735,True,2025-03-18 14:22:28,R_7P4ZNn1zG1tnCyO,anonymous,EN,Yes,Social sciences,Non-academic researcher,Man,21,Algeria,,Lab/online research,1,,"Reality check (e.g., literature search, consultation with colleagues)",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2025-03-18 14:34:55,2025-03-18 14:35:24,IP Address,100,29,True,2025-03-18 14:35:25,R_8SuiVTOtQ344Kfy,email,EN,Yes,Health sciences,Associate professor,Prefer not to say,22,Andorra,,Lab/online research,1,323,"Reality check (e.g., literature search, consultation with colleagues)",,,2,,,,,,,,,,,,,,,5,,,323
2025-03-18 12:10:18,2025-03-18 12:10:57,IP Address,80,39,False,2025-03-18 14:36:30,R_8DNuljeUD0Gm1bQ,anonymous,EN,Yes,Social sciences,PhD student,Man,67,Angola,,Lab/online research,2,sadness,"Preparations (IRB permit, preregistration, experiment preparations)",,,,,,,,,,,,,,,,,,,,,
2025-03-18 12:14:33,2025-03-18 12:15:14,IP Address,80,41,False,2025-03-18 14:36:31,R_8hDSML7zhAqh89u,anonymous,EN,Yes,Social sciences,PhD student,Man,33,Bahamas,,Lab/online research,2,33,"Preparations (IRB permit, preregistration, experiment preparations)",,,,,,,,,,,,,,,,,,,,,
2025-03-18 12:15:43,2025-03-18 12:16:08,IP Address,80,24,False,2025-03-18 14:36:31,R_8sB8FETfVHa0qWe,anonymous,EN,Yes,Social sciences,Postdoc,Non-binary / third gender / gender non-conforming,33,Azerbaijan,,Lab/online research,2,33,Data analysis,,,,,,,,,,,,,,,,,,,,,
2025-03-18 12:10:37,2025-03-18 12:11:17,IP Address,20,40,False,2025-03-18 14:36:34,R_2t0aZwSv6tAHBls,anonymous,EN,Yes,Social sciences,Postdoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20 11:03:11,2025-03-20 11:04:54,IP Address,100,103,True,2025-03-20 11:04:56,R_8EFgXQ9gJ58DnnU,email,EN,Yes,Social sciences,Full professor,Man,48,Switzerland,,Lab/online research,3,autonomy,Project genesis/ first thoughts/ idea creation,7,7,5,7,7,7,6,7,2,3,0,0,0,0,0,0,0,0,0,0,it is fun to do research
2025-03-20 10:59:44,2025-03-20 11:06:21,IP Address,100,397,True,2025-03-20 11:06:22,R_40ojijLtAth5WbT,email,EN,Yes,Health sciences,PhD student,Woman,39,Thailand,,Clinical research,0,"Uncertainty ",Data collection,7,7,0,2,2,3,0,7,7,3,0,0,7,7,7,7,0,4,3,7,"Its hard to tell, im doing research like what you do right now (questionnaire based) but i need to meet the participants in person, and people not always nice. "
